Assigned_to,Tool,Integration_category,Link,Use_case,Integration_type,Omics_layers,Technologies,Strengths,Limitations,Best_for,Study_examples,Paper_DOI,Citation_count,Benchmarked_in,Installation_source,Doc_quality,Usability,Maintenance_status,Language,Preprocessing_steps,Input_formats,Input_details,Output_formats,Underlying_method,Actively_maintained,Published,Code_available,Parameters_documented,Include_raw
Andrea,Giotto Suite,Network/knowledge-based,https://giottosuite.readthedocs.io/,"Spatial transcriptomics, cell-cell interactions",Spatial + network-based,Spatial transcriptomics; imaging,,Advanced spatial modeling; strong visualization,Complex setup; steep learning curve,Tissue architecture; spatial networks,,,,,,,,Active,R,,,,,Spatial network analysis,Y,Y,Y,Y,PASS
Paula,semla,Network/knowledge-based,https://github.com/ludvigla/semla,"Visium ST processing, visualization, image alignment & region annotation",Spatial analysis & multi-section / image alignment (toolkit),Spatial transcriptomics (Visium) + H&E image,,"Extends Seurat; QC, deconvolution, digital unrolling, manual/landmark alignment, neighbourhood-enrichment & label-assortativity tests",ST single-omics (Visium-focused); a toolkit rather than a multi-omics integrator,"Visium analysis, multi-section alignment, spatial statistics",,10.1093/bioinformatics/btad626,,,GitHub (ludvigla/semla),,,Active,R,,,,,Seurat-based toolkit + landmark / image registration,Y,Y,Y,Y,PASS
Paula,MAGPIE,Network/knowledge-based,https://www.biorxiv.org/content/10.1101/2025.02.26.640381v1.full,Co-register ST + metabolomics (MSI) + morphology from same / adjacent sections,Spatial multi-omics co-registration (ST + MSI),Visium ST + MALDI/DESI mass-spectrometry imaging + H&E,,"Modular, accessible workflow; multi-tissue; supports MALDI & DESI; refined resolution & interpretability","Preprint (2025), not yet peer-reviewed; co-registration / alignment focused",MSI + Visium spatial multi-omics (e.g. tissue injury / pharmacology),Drug-induced pulmonary fibrosis (in vivo); data GSE312168,bioRxiv 2025 (10.1101/2025.02.26.640381),,,GitHub (see paper),,,Active (preprint),R,,,,,Multimodal co-registration / alignment workflow,Y,Y,Y,Y,PASS
Paula,SpatialMETA,Deep learning/AI,https://github.com/WanluLiuLab/SpatialMETA,DL integration of spatial + omics layers,Multi-modal + spatial (deep learning),Spatial transcriptomics + other omics,,Designed for spatial multi-omics; flexible integration,Emerging tool; fewer benchmarks; needs compute expertise,Advanced spatial multi-omics integration,,10.1038/s41467-025-63915-z,5 (2026-05),,,,,Active,Python,,,,,Deep learning (multimodal),Y,Y,Y,N,REVIEW
(unassigned),SpaGCN,Deep learning/AI,https://github.com/jianhuupenn/SpaGCN,Spatial domains from expression + space + histology,Spatial (GNN),Spatial transcriptomics + histology,,,,,,10.1038/s41592-021-01266-5,,,,,,Active,Python,,,,,Graph convolutional network,Y,Y,Y,Y,PASS
(unassigned),STAGATE,Deep learning/AI,https://github.com/QIFEIDKN/STAGATE_pyG,Spatial domain identification,Spatial (graph AE),Spatial transcriptomics,,,,,,10.1038/s41467-022-29439-6,,,,,,Active,Python,,,,,Graph attention autoencoder,Y,Y,Y,Y,PASS
(unassigned),GraphST,Deep learning/AI,https://github.com/JinmiaoChenLab/GraphST,"Clustering, integration & deconvolution",Spatial (contrastive),Spatial transcriptomics,,,,,,10.1038/s41467-023-36796-3,,,,,,Active,Python,,,,,Graph contrastive learning,Y,Y,Y,Y,PASS
(unassigned),BANKSY,Joint dimension reduction,https://github.com/prabhakarlab/Banksy,Unified cell typing + domain segmentation,Spatial (neighbourhood-augmented),Spatial omics,,,,,,10.1038/s41588-024-01664-3,,,,,,Active,R; Python,,,,,Neighbourhood-augmented embedding,Y,Y,Y,Y,PASS
(unassigned),PASTE / PASTE2,Network/knowledge-based,https://github.com/raphael-group/paste,Align & integrate ST slices,Spatial alignment,Spatial transcriptomics (multi-slice),,,,,,10.1038/s41592-022-01459-6,,,,,,Active,Python,,,,,Optimal transport,Y,Y,Y,Y,PASS
(unassigned),STAligner,Deep learning/AI,https://github.com/zhanglabtools/STAligner,Integrate & align multiple ST datasets,Spatial integration,Spatial transcriptomics (multi-sample),,,,,,10.1038/s43588-023-00543-x,,,,,,Active,Python,,,,,Graph attention + triplet learning,Y,Y,Y,Y,PASS
Elisabetta Sciacca,SMART,Deep learning/AI,https://github.com/Xubin-s-Lab/SMART-main,Spatial multi-omics integration; spatial domain identification; multi-section integration (SMART-MS variant),Spatial multi-omics (GNN + contrastive learning),Spatial transcriptomics + chromatin accessibility (ATAC) / proteomics / ribosomics / CUT&Tag,"10x Visium, MISAR-seq, Stereo-CITE-seq, spatial ATAC-RNA-seq, spatial CUT&Tag-RNA-seq, STARmap + RIBOmap, SPOTS",Modality-independent and modular; supports any number/type of omics; exceptional scalability on large datasets; SMART-MS variant for multi-section integration; triplet metric learning refines cross-modal aggregation,"Python-only with non-trivial installation (PyTorch Geometric wheel dependencies); published March 2026, limited independent benchmarking so far; requires CUDA for efficiency on large datasets",Spatial domain identification across diverse multi-omics combinations; large-scale spatial datasets; multi-section spatial integration,10x human lymph node (GSE263617); MISAR-seq mouse brain (OEP003285); spatial CUT&Tag-RNA-seq mouse brain (GSE205055); SPOTS mouse spleen (GSE198353); P22 mouse brain; 10x human tonsil,10.1038/s41467-026-70821-5, ,"10.1038/s41467-026-70821-5
Internal benchmarks vs STAGATE, GraphST, SpaGCN, STAligner, BANKSY, PASTE2 (benchmarks/ folder in repo)",PyPI (pip install bio-SMART) / GitHub (Xubin-s-Lab/SMART-main),5, ,Active,Python,Expects pre-processed AnnData objects; MNN-based batch correction available via smart.MNN for multi-section data,AnnData (.h5ad),Spatial multi-omics AnnData objects with spatial coordinates; multiple omics layers as separate count matrices within AnnData,Integrated low-dimensional embeddings; spatial domain labels stored in AnnData .obs,GraphSAGE (graph neural network) + triplet metric learning; modality-independent modular stacking framework,Y,Y,Y,Y,PASS
(unassigned),MEFISTO,Joint dimension reduction,https://biofam.github.io/MOFA2/,Unsupervised temporal/spatial multi-omics integration; latent factor discovery,Unsupervised,Spatial transcriptomics + other omics,,Models continuous covariates (space coordinates); captures smooth trajectories; interpretable latent factors,Requires continuous covariates; assumes smooth variation,Spatial omics,,10.1186/s13059-020-02015-1,,,https://biofam.github.io/MOFA2/installation.html,,,Active,Python; R,"Normalization, feature selection",Multi-view cell × feature matrices + continuous covariates,"Paired cells across omics layers; temporal, spatial or pseudotime coordinates","Latent factors, feature loadings, variance explained, spatial trajectories, uncertainty estimates",Bayesian group factor analysis + Gaussian processes,Y,Y,Y,Y,PASS
Elisabetta Sciacca,SpaMosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW
