ID,Metric,Category / applies to,What it measures,Objective / Subjective,Formula / how it is calculated,Tools / packages (Python | R),Reference (definition paper / DOI),Lead
1,PCC — Pearson correlation,Spatial multi-omics,Reconstruction accuracy,Objective,r between reconstructed and observed feature values,SpatialMETA  |  base stats (cor),"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
2,Cosine similarity (CS),Spatial multi-omics,Reconstruction accuracy,Objective,cos = (a·b)/(||a|| ||b||) of reconstructed vs observed feature vectors,SpatialMETA  |  lsa (cosine); proxy,"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
3,CHAOS — spatial chaos score,Spatial,Domain spatial contiguity,Objective,Mean 1-NN distance (z-scored coords) within each cluster; lower = more contiguous,SDMBench  |  —,"Hu et al. 2021 (SpaGCN), Nat Methods 18:1342-1351 (10.1038/s41592-021-01266-5); Yuan et al. 2024, Nat Methods 21:712-722",
4,PAS — % abnormal spots,Spatial,Domain smoothness,Objective,Fraction of spots where > half of k spatial neighbours have a different label,SDMBench  |  —,"Hu et al. 2021 (SpaGCN), Nat Methods 18:1342-1351 (10.1038/s41592-021-01266-5); Yuan et al. 2024, Nat Methods 21:712-722",
5,Moran's I,Spatial,Spatial autocorrelation of markers,Objective,I = (N/W) Σ_i Σ_j w_ij (x_i-x̄)(x_j-x̄) / Σ_i (x_i-x̄)²,squidpy; SDMBench  |  spdep (moran.test); ape (Moran.I),"Moran 1950, Biometrika 37:17-23; Yuan et al. 2024, Nat Methods 21:712-722",
6,Geary's C,Spatial,Local spatial autocorrelation,Objective,C = ((N-1) Σ_i Σ_j w_ij (x_i-x_j)²) / (2W Σ_i (x_i-x̄)²),squidpy; SDMBench  |  spdep (geary.test),"Geary 1954, Incorp Statist 5:115-145; Yuan et al. 2024, Nat Methods 21:712-722",
7,Specificity,Spatial / General,Marker specificity to a domain,Objective,Per gene: max(class mean / global mean); averaged across markers,SpatialMETA  |  —,"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
8,Logistic accuracy,General,Cluster separability from features,Objective,L2 logistic regression; accuracy on held-out test split,SpatialMETA  |  glmnet; LiblineaR; caret,"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
9,Mutual information (MI),General,Feature-label dependence,Objective,"Mean MI(feature; label) = ΣΣ p(x,y) log[p(x,y)/(p(x)p(y))]",SpatialMETA; scikit-learn  |  infotheo (mutinformation); mpmi,"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",
10,ARI — Adjusted Rand Index,General,Clustering vs ground truth,Objective,ARI = (RI - E[RI]) / (max RI - E[RI]),scIB; scikit-learn  |  mclust (adjustedRandIndex); aricode; fossil,"Hubert & Arabie 1985 (10.1007/BF01908075); Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
11,NMI — Normalized Mutual Info,General,Clustering agreement,Objective,"NMI = I(U;V) / mean(H(U),H(V))",scIB; scikit-learn; SDMBench  |  aricode; igraph (compare); clevr,"Strehl & Ghosh 2002, JMLR 3:583-617; Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
12,Cell-type ASW,General,Cluster separation,Objective,"s(i) = (b(i)-a(i)) / max(a(i),b(i)); normalised (ASW+1)/2",scIB; SDMBench  |  cluster (silhouette),"Rousseeuw 1987 (10.1016/0377-0427(87)90125-7); Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
13,cLISI — cell-type LISI,Single-cell,Neighbourhood label purity,Objective,Graph cLISI = (C - mean LISI)/(C-1); LISI = 1/Σ_c p_c²,scIB  |  lisi,"Korsunsky et al. 2019 (Harmony), Nat Methods 16:1289-1296 (10.1038/s41592-019-0619-0); Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
14,Isolated-label ASW,Single-cell / Spatial,Recovery of rare labels,Objective,Cell-type ASW restricted to rare labels (count ≤ median),scIB  |  cluster (silhouette),"Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
15,Batch ASW,General,Batch mixing (higher = better),Objective,"1 - |silhouette on batch labels|, averaged within each cell-type",scIB  |  cluster (silhouette); CellMixS,"Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
16,kBET,General / Single-cell,Batch correction,Objective,Rejection rate of χ² test: local vs global batch proportions in k-NN sets,kBET  |  kBET,"Büttner et al. 2019, Nat Methods 16:43-49 (10.1038/s41592-018-0254-1)",
17,iLISI — integration LISI,Single-cell,Batch mixing,Objective,Inverse Simpson on batch labels: 1/Σ_b p_b²,scIB  |  lisi,"Korsunsky et al. 2019 (Harmony), Nat Methods 16:1289-1296 (10.1038/s41592-019-0619-0); Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
18,Graph connectivity,Single-cell,Biological conservation,Objective,Mean over labels of (largest connected component / label size) in k-NN graph,scIB  |  igraph (custom),"Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
19,Trajectory conservation,Single-cell,Biological signal,Objective,Spearman ρ of pseudotime before vs after integration,scIB  |  —,"Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",
