Assigned_to,Tool,Integration_category,Link,Use_case,Integration_type,Omics_layers,Technologies,Strengths,Limitations,Best_for,Study_examples,Paper_DOI,Citation_count,Benchmarked_in,Installation_source,Doc_quality,Usability,Maintenance_status,Language,Preprocessing_steps,Input_formats,Input_details,Output_formats,Underlying_method,Actively_maintained,Published,Code_available,Parameters_documented,Include_raw
Adhideb Ghosh,MOFA+,Joint dimension reduction,https://biofam.github.io/MOFA2/,"Unsupervised integration, latent factor discovery",Unsupervised,"scRNA-seq, scATAC-seq, CITE-seq",,Handles sparse single-cell data; missing modalities; interpretable latent factors,Not intrinsically count-model based; linear factor assumption,Single-cell multi-omics integration; cross-modal alignment; cell-state discovery,,10.1186/s13059-020-02015-1,,,https://biofam.github.io/MOFA2/installation.html,5,4,Active,Python; R,"Normalization, feature aggregation",Multi-view cell × feature matrices,Paired cells across modalities,"Latent factors, feature loadings, variance explained, factor associations",Bayesian group factor analysis,Y,Y,Y,Y,PASS
Adhideb Ghosh,MOFACellulaR,Joint dimension reduction,https://github.com/saezlab/MOFAcellulaR,"Unsupervised integration of samples in cross-condition single-cell atlases, latent factor discovery",Unsupervised,"scRNA-seq, scATAC-seq",,Handles missing data; flexible view definition with non-overlapping features; joint modeling of independent cohorts,Dependency on pseudobulk profiles of cell types; insufficient nuclei count per sample for certain cell types; linear latent space,Identification of multicellular programs associated with covariates in large single-cell atlases,,10.7554/eLife.93161,,,https://github.com/saezlab/MOFAcellulaR,4,4,Active,Python; R,"pseudobulk count generation and normalization, feature selection",Multi-view pseudobulk sample × feature matrices,Paired pseudobulk samples across cell types,"Latent factors, feature loadings, variance explained, factor associations",MOFA applied to pseudobulk expression matrices across cell types to extract multicellular transcriptional signature,Y,Y,Y,Y,PASS
Cyril Lagger,Seurat + Signac (WNN),Network/knowledge-based,https://satijalab.org/seurat ; https://stuartlab.org/signac,scRNA-seq + scATAC-seq integration; multimodal cell-state discovery; atlas construction,Unsupervised,scRNA-seq + scATAC-seq (also protein via WNN),,Widely adopted; easy integration into Seurat workflows; interpretable modality weights; excellent visualization tools; supports multimodal neighbors and clustering; large user community,Not a fully generative model; no explicit uncertainty quantification; memory-intensive for large datasets; limited probabilistic interpretation; generally requires paired cells for optimal performance,10x Multiome datasets; multimodal atlas projects; users already working in Seurat ecosystem,CITE-seq PBMC; 10x Multiome PBMC; many Human Cell Atlas studies,https://doi.org/10.1016/j.cell.2021.04.048,15855,scIB multimodal benchmarks; OpenProblems Multimodal; numerous RNA+ATAC benchmarking studies,CRAN (Seurat); GitHub (Signac),5,5,Active,R,"Start from raw counts data, fragment file and peak-gene matrix and then process data and QC based on Seurat/Signac typicall steps",Seurat objects; h5Seurat; h5ad (via conversion); 10x Cell Ranger outputs; peak matrices,RNA counts and ATAC peak accessibility from matched cells; supports LSI reduction for ATAC and PCA for RNA; batch metadata optional,WNN graph; UMAP; clustering; integrated embeddings; modality weights; gene activity scores,"Weighted Nearest Neighbor graph integration combining modality-specific neighbor graphs (PCA for RNA, LSI for ATAC)",Y,Y,Y,Y,PASS
Cyril Lagger,MultiVI (scvi-tools),Deep learning/AI,https://scvi-tools.org/,"Probabilistic latent integration, denoising and batch correction of paired and unpaired single-cell modalities",Unsupervised,"scRNA-seq, scATAC-seq",,"Scalable in cell numbers (> 1 million), probabilistic, handles batch effects, handles paired and unpaired data, strong scverse and svi-tools integration, widely benchmarked","Requires model training, GPU strongly preferred for large datasets, latent dimensions not directly interpretable, ATAC peak-space choices matter","Joint latent space, batch correction",10x Multiome plus separate RNA-only or ATAC-only datasets; multimodal atlas construction,https://doi.org/10.1038/s41592-023-01909-9,182,Benchmarked in MultiVI paper ,pip install scvi-tools; conda/mamba via conda-forge,5,4,Active,Python,"Start from raw counts data and peak-gene data, QC done as part of the process",MuData / AnnData / h5ad; RNA counts; ATAC peak counts or binary accessibility,RNA genes and ATAC peaks; paired or unpaired cells; optional covariates such as donor/batch,Shared latent embedding; imputed modalities; normalized expression; accessibility estimates; DE/DA outputs,Variational autoencoder,Y,Y,Y,Y,PASS
(unassigned),Harmony,Joint dimension reduction,https://github.com/immunogenomics/harmony,Fast batch integration in PCA space,Unsupervised (batch),scRNA-seq (multi-batch); CITE/ATAC embeddings,,,,,,10.1038/s41592-019-0619-0,,,,,,Active,R; Python,,,,,Iterative clustering + linear correction,Y,Y,Y,Y,PASS
(unassigned),LIGER / rliger,Joint dimension reduction,https://github.com/welch-lab/liger,Integrative NMF across datasets / modalities,Unsupervised,scRNA-seq; scATAC-seq; spatial,,,,,,10.1016/j.cell.2019.05.006,,,,,,Active,R,,,,,Integrative NMF (iNMF),Y,Y,Y,Y,PASS
(unassigned),GLUE (scglue),Deep learning/AI,https://github.com/gao-lab/GLUE,Unpaired multi-omics integration + regulatory inference,Unsupervised,scRNA-seq; scATAC-seq; snmC-seq,,,,,,10.1038/s41587-022-01284-4,,,,,,Active,Python,,,,,Graph-linked VAE,Y,Y,Y,Y,PASS
,scGPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW
Ovidiu Radulescu,COSMOS,Multi-omics causal reasoning,https://saezlab.github.io/cosmosR/,,Unsupervised,scRNA-seq; CyTOF,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,PASS
Ovidiu Radulescu,SCENIC+,GRN inference,https://scenicplus.readthedocs.io/,,Unsupervised,scRNA-seq;scATAC-seq,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,PASS
Ovidiu Radulescu,CellOracle,GRN inference,https://github.com/morris-lab/CellOracle,,Unsupervised,scRNA-seq; CITE-seq,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,PASS
Ovidiu Radulescu,Pando,GRN inference,https://github.com/quadbio/Pando,,Unsupervised (batch),,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,PASS
,totalVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW
