Assigned to,Benchmark / framework,Type,Scope: methods compared,Data modality,Link,Evaluation metrics ,"Ground truth - (pathologist annotation, experimental validation, synthetic data)",Reference datasets used,Tissue / disease compared,Disease (MONDO / DOID),Paired modalities? (Y/N),Strengths,Limitations,Paper link / DOI,Citation count (Scopus),Language,Maintenance status,Notes,Dataset accession / download location
Paula,BenchmarkST,Benchmark study,"Spatial transcriptomics: 16 clustering (GraphST, STAGATE, SpaGCN, BayesSpace, SEDR, CCST, DeepST, conST, ConGI, SpatialPCA, DR-SC, BANKSY, ADEPT, SpaceFlow, BASS, PRECAST); 5 alignment (PASTE, PASTE2, STalign, GPSA, SPACEL); 5 integration (SPIRAL, STAligner, PRECAST, BASS, DeepST)",Spatial,https://github.com/maiziezhoulab/BenchmarkST,ARI (primary clustering accuracy); reproducibility across annotated datasets; alignment & integration quality,,Annotated ST datasets with ground truth (e.g. DLPFC 10x Visium and others),Human DLPFC (brain); human breast cancer; mouse brain / hippocampus,Healthy brain (DLPFC) + breast cancer (DOID:1612); multiple,No (single-omics ST),Broad coverage of 3 ST tasks; per-method run scripts + ReadTheDocs; reproducible notebooks,Not a pip-installable metrics package (per-method notebooks/envs); clustering scoring is largely ARI-centric,"Hu Y et al., Genome Biol 2024;25(1):212 (PMC11312151)",,Python / Jupyter,Repo active (127 commits); no tagged releases,Docs: benchmarkst-reproducibility.readthedocs.io,DLPFC: spatialLIBD (http://spatial.libd.org/spatialLIBD/); other datasets: links in the repo
Paula,SDMBench (Spatial DoMain Benchmark),Benchmark framework,"13 spatial-domain methods: Louvain, Leiden, SpaGCN, BayesSpace, StLearn, SEDR, CCST, SCAN-IT, STAGATE, SpaceFlow, conST, BASS, DeepST",Spatial,https://github.com/zhaofangyuan98/SDMBench  (web: sdmbench.drai.cn),"NMI, HOM, COM, CHAOS, PAS, ASW, Moran's I, Geary's C, runtime, memory (accuracy / continuity / marker / scalability + robustness)",,"87 real + 175 simulated ST datasets (10x Visium, Stereo-seq, BaristaSeq, MERFISH, osmFISH, STARmap); h5ad on Figshare 163942","Human DLPFC; mouse brain & embryo; multi-tissue across 7 ST platforms (Visium, Stereo-seq, MERFISH, osmFISH, STARmap, BaristaSeq)",Multiple tissues — n/a (assign per dataset),No (single-omics ST),Installable SDMBench Python package + web interface + Docker; standard input format (new_method.txt) to score your own results; robustness tests,Scope = spatial-domain identification only (not bulk / single-cell integration); clustering-centric,"Yuan Z et al., Nat Methods 2024 (verify DOI)",,Python (pip package; Docker),Actively updated,Closest to a turnkey 'run all metrics' package for the spatial-domain task,Figshare project 163942 (https://figshare.com/projects/SDMBench/163942) — reprocessed h5ad; also http://sdmbench.drai.cn/
(unassigned),scIB / scib-metrics,Benchmark framework,Single-cell integration methods (atlas-level),Single-cell,https://github.com/theislab/scib,"ARI, NMI, ASW, iLISI, cLISI, kBET, graph connectivity, isolated-label, trajectory conservation, PCR",,Atlas-level scRNA-seq / multimodal datasets,Human immune cells; human/mouse pancreas; human lung atlas; mouse brain (ATAC),Multiple (immune / pancreas / lung / brain) — n/a,"No (single modality, multi-batch)",De-facto standard metrics package; bio-conservation + batch-correction split,Single-cell focus; not spatial-domain specific,"Luecken et al. 2022, Nat Methods 19:41-50 (10.1038/s41592-021-01336-8)",,Python (scib; scib-metrics),Active,Source for most single-cell integration metrics in this hub,Figshare 10.6084/m9.figshare.12420968; github.com/theislab/scib
(unassigned),Multitask single-cell multimodal benchmarking,Benchmark study,Single-cell multimodal omics integration methods,Single-cell,https://www.nature.com/articles/s41592-025-02856-3,Batch correction + biological conservation across multiple tasks,,Paired multimodal single-cell datasets,"Paired multimodal tissues (e.g. PBMC, bone marrow; CITE-seq & 10x Multiome)","Healthy reference tissues (PBMC, bone marrow) — n/a",Yes (paired multimodal),Recent multitask comparison of multimodal integration tools,Single-cell only,Nat Methods 2025;22:2449-2460 (10.1038/s41592-025-02856-3),,—,n/a (study),,See paper Data availability (10.1038/s41592-025-02856-3)
Paula,SpatialMETA (paper benchmark),Benchmark study,"Vertical & horizontal integration: Seurat CCA/RPCA, scVI, scANVI, totalVI, scPoli, spaVAE, PCA, SpatialGLUE",Spatial (ST + metabolomics),https://www.nature.com/articles/s41467-025-63915-z,"Reconstruction (PCC, CS); continuity (CHAOS, PAS); marker (Moran's I, Geary's C, specificity, logistic, MI); bio conservation (ARI, NMI, ASW, cLISI, isolated-label); batch ASW, iLISI, PCR",,11 paired samples (ST + spatial metabolomics),ccRCC (clear-cell renal cell carcinoma); mouse brain; GBM (glioblastoma),ccRCC DOID:4467; glioblastoma DOID:3068; mouse brain (healthy),Yes (paired ST + metabolomics),Defines the 4-score benchmark framework used in this hub; paired ST+SM,Pilot-specific (ST + metabolomics); 11 samples,"Yang et al. 2025, Nat Commun (10.1038/s41467-025-63915-z)",,Python,Active,Also listed as a tool in 'Spatial methods',Zenodo 10.5281/zenodo.16750012; code: github.com/WanluLiuLab/SpatialMETA
(unassigned),Benchmark of single-cell multi-omics integration (scRNA + scATAC),Benchmark study,12 multi-omics integration methods across 3 integration tasks,Single-cell,https://academic.oup.com/bib/article/25/2/bbae095/7630478,Quantitative metrics across 6 analysis aspects + qualitative visualisation; provides selection guidelines,,Paired scRNA + scATAC datasets,PBMC / bone marrow / brain (paired scRNA + scATAC),Healthy reference (PBMC / BMMC / brain) — n/a,Yes (paired) + diagonal,Task-based comparison with practical method-selection guidelines,scRNA + scATAC only (no spatial); 12 methods,Brief Bioinform 2024;25(2):bbae095 (10.1093/bib/bbae095),,—,n/a (study),Single-cell multimodal integration benchmark,See paper Data availability
(unassigned),Challenges & best practices in omics benchmarking,Guidance / best practices,"How to design, run & report benchmarking studies (any omics)",General,https://www.nature.com/articles/s41576-023-00679-6,Benchmarking design principles; common pitfalls; structured reporting form/checklist,,n/a (review),,n/a (guidance review),,Directly informs T2.6 benchmark design AND the T2.5 reporting checklist; includes a reporting template,Review (no datasets/code),Nat Rev Genet 2024;25:326-339 (10.1038/s41576-023-00679-6),,—,,Use as the backbone for the WG2 reporting checklist,
Carme Zambrana,Benchmarking joint multi-omics dimensionality reduction approaches for the study of cancer,Benchmark study,"RGCCA, MCIA, MOFA, iCluster, JIVE, intNMF, tICA, skcikit-funsion + (seuralt and LIGER for comparison on single-cell case)",bulk and single-cell multiomics ,https://doi.org/10.1038/s41467-020-20430-7,"Clustering (JI, ARI), Survival (Cox), association with clinical variables (statistical tests), biological annotations (enrichment analysis), cell-line clustering (C-index",simulation data (for the clustering part),"bulk (gene expression, DNA methylation, and miRNA expression), single-cell  (scRNA-seq and scATAC-seq)","bulk : cancer (Leukemia, Breast, Colon,  Glioblastoma, Kidney, Liver , Lung,  Melanoma, Ovarian, Sarcoma); single-cell: cancer cell lines (HTC, Hela and K562)",,Yes (paired multiomics),"Broad coverage of joint Dimensionality Reduction (jDR) methods, applies bulk jDR to single-cell and compare them to specific single-cell methods; well documented reproducible benchmark",single-cell part on cell-lines, https://doi.org/10.1038/s41467-020-20430-7,205,R / Jupyter,Last commit (4 years ago),,"bulk dataset: https://acgt.cs.tau.ac.il/multi_omic_benchmark/download.html, single-cell https://github.com/cantinilab/momix-notebook, "
(unassigned),Benchmarking computational methods for single-cell chromatin data analysis ,Benchmark study,"Aggregation, Signac, ArchR, SnapATAC, SnapATAC2",Single-cell epigenetics,https://github.com/RoseYuan/sc_chromatin_benchmark,"embedding-based metrics (ARI, ARI2, AV, AW, MI, VI); graph-based metrics (PWC); partition-based metrics (ASW, FNC, cLISI)",,,,,,,,https://doi.org/10.1186/s13059-024-03356-x,,"R, Python",,,
(unassigned),On metrics for subpopulation detection in single-cell and spatial omics data,Benchmark study,,Single-cell + Spatial omics,https://github.com/RoseYuan/poem,,,,,,,,,https://doi.org/10.1093/nar/gkaf921,,R,,,
